referencing_db,referencing_entity_name,referencing_description,referencing_minor_id,referencing_class_desc,referenced_server_name,referenced_database_name,referenced_schema_name,referenced_entity_name,referenced_column_name,is_caller_dependent,is_ambiguous
BI,AX_Inventory_Location,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTLOCATION,(n/a),0,0
BI,AX_Vendor_Master_Last30,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DIRPARTYTABLE,(n/a),0,0
BI,AX_Vendor_Master_Last30,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTABLE,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTLOCATION,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTTABLEADDITIONALATTRIBUTES,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTTRANS,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTTRANSORIGIN,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MARKUPTRANS,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESINVENTIMPORTJOURNALTABLE,(n/a),0,0
BI,zPowerBI_PO_DPSReceived,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VIRTUALDATAAREALIST,(n/a),0,0
BI,AX_Default_Dimensions,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DEFAULTDIMENSIONVIEW,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ACCOUNTINGDISTRIBUTION,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJECTACCOUNTINGDISTRIBUTION,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJITEMTRANS,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJTRANSPOSTING,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,TAXTRANS,(n/a),0,0
BI,zExcelAnalysis_SCProjInvoiceVariance,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDINVOICEJOUR,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CustTable,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTTRANS,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DimensionAttributeValueCombination,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DirPartyTable,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,FiscalCalendarPeriod,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,GeneralJournalAccountEntry,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,GeneralJournalEntry,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTPOSTING,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,Ledger,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MainAccount,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SALESLINE,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SALESTABLE,(n/a),0,0
BI,AX_PRDAR_WeeklyDSO_By_Customer_T3M,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VirtualDataAreaList,(n/a),0,0
BI,AX_Attachment_JournalLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DOCUREF,(n/a),0,0
BI,AX_Attachment_JournalLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,docutype,(n/a),0,0
BI,AX_Attachment_JournalLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,docuvalue,(n/a),0,0
BI,AX_Attachment_JournalLines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ledgerjournaltrans,(n/a),0,0
BI,PowerApp_TA_Site_lookup,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTSITE,(n/a),0,0
BI,AX_Attachment_JournalHeader,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DOCUREF,(n/a),0,0
BI,AX_Attachment_JournalHeader,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,docutype,(n/a),0,0
BI,AX_Attachment_JournalHeader,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,docuvalue,(n/a),0,0
BI,AX_Attachment_JournalHeader,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ledgerjournaltable,(n/a),0,0
BI,AX_PurchaseOrder_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PURCHLINE,(n/a),0,0
BI,AX_PurchaseOrder_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PURCHTABLE,(n/a),0,0
BI,AX_PurchaseOrder_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDINVOICETRANS,(n/a),0,0
BI,AX_PurchaseOrder_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDPACKINGSLIPTRANS,(n/a),0,0
BI,AX_Worker_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DIRPARTYTABLE,(n/a),0,0
BI,AX_Worker_Master,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,HCMWORKER,(n/a),0,0
BI,PowerApp_TA_ItemsAll,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESTANKTYPE,(n/a),0,0
BI,PowerApp_TA_ItemSelection,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ECORESPRODUCTTRANSLATION,(n/a),0,0
BI,PowerApp_TA_ItemSelection,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTTABLE,(n/a),0,0
BI,PowerApp_TA_ItemSelection,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESFACILITYTANK,(n/a),0,0
BI,TruckView_UWI_FacilityList,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESUWITable,(n/a),0,0
BI,AX_Ledger_Dimensions,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DimensionAttribute,(n/a),0,0
BI,AX_Ledger_Dimensions,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DimensionAttributeLevelValueView,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DIMENSIONATTRIBUTEVALUECOMBINATION,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTDIM,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,LEDGERJOURNALTABLE,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,LEDGERJOURNALTRANS,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,LEDGERJOURNALTRANS_PROJECT,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNT,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNTCATEGORY,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJTABLE,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDDIRPARTYTABLEVIEW,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTABLE,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTRANS,(n/a),0,0
BI,AX_Journal_LedgerTrans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VIRTUALDATAAREALIST,(n/a),0,0
BI,AX_Budget_Trans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,BUDGETTRANSACTIONHEADER,(n/a),0,0
BI,AX_Budget_Trans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,BUDGETTRANSACTIONLINE,(n/a),0,0
BI,AX_Budget_Trans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNT,(n/a),0,0
BI,AX_Budget_Trans,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNTCATEGORY,(n/a),0,0
BI,SESSPARTANMAIN,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESSPARTANMAIN,(n/a),0,0
BI,SESSPARTANTRANSFER,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,SESSPARTANTRANSFER,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTPACKINGSLIPSALESLINK,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTTABLE,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTTRANS,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DIMENSIONATTRIBUTEVALUECOMBINATION,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,DIRPARTYTABLE,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,FISCALCALENDARPERIOD,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,GENERALJOURNALACCOUNTENTRY,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,GENERALJOURNALENTRY,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTTRANS,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,LEDGERENTRYJOURNAL,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNT,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MAINACCOUNTCATEGORY,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,TRANSACTIONLOG,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDDIRPARTYTABLEVIEW,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTABLE,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTRANS,(n/a),0,0
BI,AX_GL_TransDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VIRTUALDATAAREALIST,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,GENERALJOURNALENTRY,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PURCHLINE,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,ReasonTableRef,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,USERINFO,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDINVOICEPACKINGSLIPQUANTITYMATCH,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDPACKINGSLIPJOUR,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDPACKINGSLIPTRANS,(n/a),0,0
BI,AX_PurchaseOrder_PackingSlipDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDPACKINGSLIPVERSION,(n/a),0,0
BI,AX_ServiceOrder_InvoiceDetails,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTTRANS,(n/a),0,0
BI,zPowerBI_AXGLVendorExp_PRD,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDTRANS,(n/a),0,0
BI,zPowerBI_AXGLVendorExp_PRD,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VIRTUALDATAAREALIST,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,EcoResProduct,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,EcoResProductTranslation,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTITEMGROUPITEM,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,INVENTMODELGROUPITEM,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,MARKUPTRANS,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJBUDGETLINE,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PROJCATEGORY,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PURCHLINE,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,PURCHTABLE,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,TAXUNCOMMITTED,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDINVOICETRANS,(n/a),0,0
BI,AX_PurchaseOrder_Lines,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,VENDPURCHORDERJOUR,(n/a),0,0
BI,zExcel_ChemProd_Reconcile,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CustInvoiceJour,(n/a),0,0
BI,zExcel_ChemProd_Reconcile,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CUSTINVOICETRANS,(n/a),0,0
BI,zExcel_ChemProd_Reconcile,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CustPackingSlipJour,(n/a),0,0
BI,zExcel_ChemProd_Reconcile,VIEW,(n/a),OBJECT_OR_COLUMN,NULL,AX_SECURE_PRD_REPLICA,dbo,CustPackingSlipTrans,(n/a),0,0
